12296	3210	&#12296;	〈	Left Angle Bracket	Common	Ps	CJK	_cjk	CJK Symbols and Punctuation
12354	1823024	&#12354;	あ	Hiragana Letter A	Hiragana	Lo	Hiragana	_hir	Hiragana
12412	119009	&#12412;	ぼ	Hiragana Letter Bo	Hiragana	Lo	Hiragana	_hir	Hiragana
12470	101578	&#12470;	ザ	Katakana Letter Za	Katakana	Lo	Katakana	Kana	Katakana
12528	411	&#12528;	ヰ	Katakana Letter Wi	Katakana	Lo	Katakana	Kana	Katakana
12934	1	&#12934;	㊆	Circled Ideograph Seven	Common	No	CJK	_cjk	Enclosed CJK Letters and Months
13050	7	&#13050;	㋺	Circled Katakana Ro	Katakana	So	CJK	_cjk	Enclosed CJK Letters and Months
13108	3	&#13108;	㌴	Square Bussyeru	Katakana	So	CJK	_cjk	CJK Compatibility
13166	2	&#13166;	㍮	Ideographic Telegraph Symbol For Hour Twenty-two	Common	So	CJK	_cjk	CJK Compatibility
41122	1	&#41122;	ꂢ	Yi Syllable Hmop	Yi	Lo	Yi	Yiii	Yi Syllables
41702	1	&#41702;	ꋦ	Yi Syllable Zzur	Yi	Lo	Yi	Yiii	Yi Syllables
64380	172	&#64380;	ﭼ	Arabic Letter Tcheh Initial Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-A
65018	1	&#65018;	ﷺ	Arabic Ligature Sallallahou Alayhe Wasallam	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-A
65076	20	&#65076;	︴	Presentation Form For Vertical Wavy Low Line	Common	Pc	CJK	_cjk	CJK Compatibility Forms
65192	39	&#65192;	ﺨ	Arabic Letter Khah Medial Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-B
65250	40	&#65250;	ﻢ	Arabic Letter Meem Final Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-B
65308	104958	&#65308;	＜	Fullwidth Less-than Sign	Common	Sm	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
65366	4119	&#65366;	ｖ	Fullwidth Latin Small Letter V	Latin	L&	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
65424	4233	&#65424;	ﾐ	Halfwidth Katakana Letter Mi	Katakana	Lo	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
1	326	&#1;		<control>	Common	Cc	Latin	Latn	Basic Latin
175	10264	&macr;	¯	Macron	Common	Sk	Latin	Latn	Latin-1 Supplement
233	1011123	&eacute;	é	Latin Small Letter E With Acute	Latin	L&	Latin	Latn	Latin-1 Supplement
291	606	&#291;	ģ	Latin Small Letter G With Cedilla	Latin	L&	Latin	Latn	Latin Extended-A
349	112	&#349;	ŝ	Latin Small Letter S With Circumflex	Latin	L&	Latin	Latn	Latin Extended-A
407	30	&#407;	Ɨ	Latin Capital Letter I With Stroke	Latin	L&	Latin	Latn	Latin Extended-B
465	1	&#465;	Ǒ	Latin Capital Letter O With Caron	Latin	L&	Latin	Latn	Latin Extended-B
523	1	&#523;	ȋ	Latin Small Letter I With Inverted Breve	Latin	L&	Latin	Latn	Latin Extended-B
581	1	&#581;	Ʌ	Latin Capital Letter Turned V	Latin	L&	Latin	Latn	Latin Extended-B
639	14	&#639;	ɿ	Latin Small Letter Reversed R With Fishhook	Latin	L&	(Phonetic)	_ipa	IPA Extensions
697	3	&#697;	ʹ	Modifier Letter Prime	Common	Lm	(Symbols)	_sym	Spacing Modifier Letters
755	33	&#755;	˳	Modifier Letter Low Ring	Common	Sk	(Symbols)	_sym	Spacing Modifier Letters
871	1	&#871;	ͧ	Combining Latin Small Letter U	Inherited	Mn	(Diacriticals)	_dia	Combining Diacritical Marks
