

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
111     1       0.0001  1641302 99.9995 552636  99.9984
112     1       0.0001  1641303 99.9995 552637  99.9986
125     1       0.0001  1641304 99.9996 552638  99.9987
133     1       0.0001  1641305 99.9996 552639  99.9989
136     2       0.0001  1641307 99.9998 552641  99.9993
147     1       0.0001  1641308 99.9998 552642  99.9995
191     1       0.0001  1641309 99.9999 552643  99.9996
224     1       0.0001  1641310 99.9999 552644  99.9998
255     1       0.0001  1641311 100.0000        552645  100.0000

*************************** 1. row ***************************
query_name: Histogram for length(location)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
0       803074  48.9288 803074  48.9288 0       0.0000
1       124     0.0076  803198  48.9364 124     0.0148
2       13806   0.8412  817004  49.7775 13930   1.6618
3       12589   0.7670  829593  50.5445 26519   3.1637
4       11453   0.6978  841046  51.2423 37972   4.5300
5       31831   1.9394  872877  53.1817 69803   8.3274
6       61203   3.7289  934080  56.9106 131006  15.6288
7       52952   3.2262  987032  60.1368 183958  21.9458
8       43443   2.6468  1030475 62.7837 227401  27.1285
9       52496   3.1984  1082971 65.9821 279897  33.3912
10      50056   3.0498  1133027 69.0318 329953  39.3627
11      59692   3.6368  1192719 72.6687 389645  46.4839
12      49119   2.9927  1241838 75.6613 438764  52.3437
13      59040   3.5971  1300878 79.2585 497804  59.3870
14      46732   2.8472  1347610 82.1057 544536  64.9621
15      41014   2.4989  1388624 84.6046 585550  69.8549
16      33058   2.0141  1421682 86.6187 618608  73.7987
17      30302   1.8462  1451984 88.4649 648910  77.4137
18      23203   1.4137  1475187 89.8786 672113  80.1817
19      21048   1.2824  1496235 91.1610 693161  82.6927
20      17494   1.0659  1513729 92.2268 710655  84.7797
21      14015   0.8539  1527744 93.0807 724670  86.4517
22      12016   0.7321  1539760 93.8128 736686  87.8852
23      10447   0.6365  1550207 94.4493 747133  89.1315
24      9518    0.5799  1559725 95.0292 756651  90.2670
25      7616    0.4640  1567341 95.4932 764267  91.1755
26      9045    0.5511  1576386 96.0443 773312  92.2546
27      9233    0.5625  1585619 96.6069 782545  93.3561
28      19084   1.1627  1604703 97.7696 801629  95.6327
29      12228   0.7450  1616931 98.5146 813857  97.0915
30      19984   1.2176  1636915 99.7322 833841  99.4756
31      1189    0.0724  1638104 99.8046 835030  99.6174
32      493     0.0300  1638597 99.8346 835523  99.6762
33      385     0.0235  1638982 99.8581 835908  99.7222
34      142     0.0087  1639124 99.8668 836050  99.7391
35      113     0.0069  1639237 99.8736 836163  99.7526
36      229     0.0140  1639466 99.8876 836392  99.7799
37      118     0.0072  1639584 99.8948 836510  99.7940
38      94      0.0057  1639678 99.9005 836604  99.8052
39      182     0.0111  1639860 99.9116 836786  99.8269
40      69      0.0042  1639929 99.9158 836855  99.8351
41      70      0.0043  1639999 99.9201 836925  99.8435
42      129     0.0079  1640128 99.9279 837054  99.8589
43      48      0.0029  1640176 99.9308 837102  99.8646
44      50      0.0030  1640226 99.9339 837152  99.8706
45      69      0.0042  1640295 99.9381 837221  99.8788
46      46      0.0028  1640341 99.9409 837267  99.8843
47      29      0.0018  1640370 99.9427 837296  99.8877
48      78      0.0048  1640448 99.9474 837374  99.8970
49      25      0.0015  1640473 99.9489 837399  99.9000
50      26      0.0016  1640499 99.9505 837425  99.9031
51      49      0.0030  1640548 99.9535 837474  99.9090
52      19      0.0012  1640567 99.9547 837493  99.9112
53      19      0.0012  1640586 99.9558 837512  99.9135
54      26      0.0016  1640612 99.9574 837538  99.9166
55      16      0.0010  1640628 99.9584 837554  99.9185
56      24      0.0015  1640652 99.9599 837578  99.9214
57      30      0.0018  1640682 99.9617 837608  99.9250
58      13      0.0008  1640695 99.9625 837621  99.9265
59      12      0.0007  1640707 99.9632 837633  99.9279
60      38      0.0023  1640745 99.9655 837671  99.9325
61      14      0.0009  1640759 99.9664 837685  99.9341
62      14      0.0009  1640773 99.9672 837699  99.9358
63      34      0.0021  1640807 99.9693 837733  99.9399
64      23      0.0014  1640830 99.9707 837756  99.9426
65      11      0.0007  1640841 99.9714 837767  99.9439
66      25      0.0015  1640866 99.9729 837792  99.9469
67      21      0.0013  1640887 99.9742 837813  99.9494
68      13      0.0008  1640900 99.9750 837826  99.9510
